time,active_connections,app,cpu,cpu_temperature,disk_read_bytes,disk_usage_percent,disk_write_bytes,health_status,load_avg_15m,load_avg_1m,load_avg_5m,memory,network_recv_bytes,network_sent_bytes,process_count,response_time,thread_count,timestamp,uptime_seconds
2025-03-18T18:38:09.348383Z,6,service1,1.2,0.0,8751379456,0.3,8072916992,Healthy,0.0390625,0.0595703125,0.03857421875,18.6,65276,94565,1,1587.623119354248,3,2025-03-18T18:38:09.345955,68407.3450922966
2025-03-18T18:38:09.411691Z,7,service2,1.5,0.0,8751379456,0.3,8072916992,Warning,0.0390625,0.0595703125,0.03857421875,18.6,62597,90085,1,1893.2149410247803,4,2025-03-18T18:38:09.409423,68407.40849399567
2025-03-18T18:38:09.672499Z,7,service2,1.1,0.0,8751379456,0.3,8072916992,Critical,0.04443359375,0.13525390625,0.0546875,18.6,63616,92027,1,1785.2551937103271,4,2025-03-18T18:38:09.670654,68407.6699912548
2025-03-18T18:38:10.502513Z,7,service1,0.3,0.0,8751379456,0.3,8072916992,Healthy,0.04443359375,0.13525390625,0.0546875,18.6,66671,96643,1,1634.6838474273682,4,2025-03-18T18:38:10.500752,68408.50003862381
2025-03-18T18:38:10.577063Z,8,service2,0.3,0.0,8751379456,0.3,8072916992,Healthy,0.04443359375,0.13525390625,0.0546875,18.7,65004,94111,1,1419.4328784942627,5,2025-03-18T18:38:10.574865,68408.57381463051
2025-03-18T18:38:11.290158Z,7,service2,0.3,0.0,8751379456,0.3,8072916992,Healthy,0.04443359375,0.13525390625,0.0546875,18.7,65654,95915,1,1793.0853366851807,4,2025-03-18T18:38:11.288382,68409.28770184517
2025-03-18T18:38:11.295632Z,6,service1,0.4,0.0,8751379456,0.3,8072916992,Warning,0.04443359375,0.13525390625,0.0546875,18.7,67928,98986,1,1720.573902130127,3,2025-03-18T18:38:11.293114,68409.29234719276
2025-03-18T18:38:11.629901Z,6,service2,0.4,0.0,8751379456,0.3,8072916992,Warning,0.04443359375,0.13525390625,0.0546875,18.7,66304,97719,1,1752.4807453155518,3,2025-03-18T18:38:11.628135,68409.62749934196
2025-03-18T18:38:11.958702Z,6,service2,0.9,0.0,8751379456,0.3,8072916992,Healthy,0.04443359375,0.13525390625,0.0546875,18.7,67323,99663,1,1648.7207412719727,3,2025-03-18T18:38:11.956746,68409.95609092712
2025-03-18T18:38:12.053300Z,5,service1,1.1,0.0,8751379456,0.3,8072916992,Warning,0.04443359375,0.13525390625,0.0546875,18.7,69185,101327,1,1826.791524887085,2,2025-03-18T18:38:12.051270,68410.05060887337
2025-03-18T18:38:13.481176Z,7,service2,0.4,0.0,8751379456,0.3,8072916992,Critical,0.04443359375,0.13525390625,0.0546875,18.7,69321,102286,1,1761.2628936767578,4,2025-03-18T18:38:13.479369,68411.47872400284
2025-03-18T18:38:13.770048Z,7,service2,0.5,0.0,8751379456,0.3,8072949760,Warning,0.04443359375,0.13525390625,0.0546875,18.7,70345,104234,1,1265.3849124908447,4,2025-03-18T18:38:13.768077,68411.76736283302
2025-03-18T18:38:14.227844Z,6,service1,0.8,0.0,8751379456,0.3,8072949760,Critical,0.04443359375,0.13525390625,0.0546875,18.7,71781,104489,1,1793.2755947113037,3,2025-03-18T18:38:14.226007,68412.22526597977
